diff_id,language,perturbation,kind,applied,metric,score
100,py,whitespace_double,trivial,1,bleu,1.0000000000000004
100,py,whitespace_double,trivial,1,rougeL,1.0
100,py,trailing_period_flip,trivial,1,bleu,0.866877899750182
100,py,trailing_period_flip,trivial,1,rougeL,1.0
100,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
100,py,synonym_swap,paraphrase,0,rougeL,1.0
100,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
100,py,action_antonym,meaning_change,0,rougeL,1.0
103,py,whitespace_double,trivial,1,bleu,1.0000000000000004
103,py,whitespace_double,trivial,1,rougeL,1.0
103,py,trailing_period_flip,trivial,1,bleu,0.9200444146293236
103,py,trailing_period_flip,trivial,1,rougeL,1.0
103,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
103,py,synonym_swap,paraphrase,0,rougeL,1.0
103,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
103,py,action_antonym,meaning_change,0,rougeL,1.0
105,py,whitespace_double,trivial,1,bleu,1.0000000000000004
105,py,whitespace_double,trivial,1,rougeL,1.0
105,py,trailing_period_flip,trivial,1,bleu,0.9036020036098446
105,py,trailing_period_flip,trivial,1,rougeL,1.0
105,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
105,py,synonym_swap,paraphrase,0,rougeL,1.0
105,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
105,py,action_antonym,meaning_change,0,rougeL,1.0
125,py,whitespace_double,trivial,1,bleu,1.0000000000000004
125,py,whitespace_double,trivial,1,rougeL,1.0
125,py,trailing_period_flip,trivial,1,bleu,0.9131007162822629
125,py,trailing_period_flip,trivial,1,rougeL,1.0
125,py,synonym_swap,paraphrase,1,bleu,0.7348889200874659
125,py,synonym_swap,paraphrase,1,rougeL,0.8888888888888888
125,py,action_antonym,meaning_change,1,bleu,0.7348889200874659
125,py,action_antonym,meaning_change,1,rougeL,0.8888888888888888
219,py,whitespace_double,trivial,1,bleu,1.0000000000000004
219,py,whitespace_double,trivial,1,rougeL,1.0
219,py,trailing_period_flip,trivial,1,bleu,0.9200444146293236
219,py,trailing_period_flip,trivial,1,rougeL,1.0
219,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
219,py,synonym_swap,paraphrase,0,rougeL,1.0
219,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
219,py,action_antonym,meaning_change,0,rougeL,1.0
268,py,whitespace_double,trivial,1,bleu,1.0000000000000004
268,py,whitespace_double,trivial,1,rougeL,1.0
268,py,trailing_period_flip,trivial,1,bleu,0.9253911813809742
268,py,trailing_period_flip,trivial,1,rougeL,1.0
268,py,synonym_swap,paraphrase,1,bleu,0.855526185871245
268,py,synonym_swap,paraphrase,1,rougeL,0.8888888888888888
268,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
268,py,action_antonym,meaning_change,0,rougeL,1.0
286,py,whitespace_double,trivial,1,bleu,1.0000000000000004
286,py,whitespace_double,trivial,1,rougeL,1.0
286,py,trailing_period_flip,trivial,1,bleu,0.89483931681437
286,py,trailing_period_flip,trivial,1,rougeL,1.0
286,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
286,py,synonym_swap,paraphrase,0,rougeL,1.0
286,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
286,py,action_antonym,meaning_change,0,rougeL,1.0
372,py,whitespace_double,trivial,1,bleu,1.0000000000000004
372,py,whitespace_double,trivial,1,rougeL,1.0
372,py,trailing_period_flip,trivial,1,bleu,0.9740274534203016
372,py,trailing_period_flip,trivial,1,rougeL,1.0
372,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
372,py,synonym_swap,paraphrase,0,rougeL,1.0
372,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
372,py,action_antonym,meaning_change,0,rougeL,1.0
633,py,whitespace_double,trivial,1,bleu,1.0000000000000004
633,py,whitespace_double,trivial,1,rougeL,1.0
633,py,trailing_period_flip,trivial,1,bleu,0.9121679090703875
633,py,trailing_period_flip,trivial,1,rougeL,1.0
633,py,synonym_swap,paraphrase,1,bleu,0.9036020036098446
633,py,synonym_swap,paraphrase,1,rougeL,0.9090909090909091
633,py,action_antonym,meaning_change,1,bleu,0.9036020036098446
633,py,action_antonym,meaning_change,1,rougeL,0.9090909090909091
647,py,whitespace_double,trivial,1,bleu,1.0000000000000004
647,py,whitespace_double,trivial,1,rougeL,1.0
647,py,trailing_period_flip,trivial,1,bleu,0.8801117367933934
647,py,trailing_period_flip,trivial,1,rougeL,1.0
647,py,synonym_swap,paraphrase,1,bleu,0.8633400213704508
647,py,synonym_swap,paraphrase,1,rougeL,0.8571428571428571
647,py,action_antonym,meaning_change,1,bleu,0.8633400213704508
647,py,action_antonym,meaning_change,1,rougeL,0.8571428571428571
652,py,whitespace_double,trivial,1,bleu,1.0000000000000004
652,py,whitespace_double,trivial,1,rougeL,1.0
652,py,trailing_period_flip,trivial,1,bleu,0.9428731438548752
652,py,trailing_period_flip,trivial,1,rougeL,1.0
652,py,synonym_swap,paraphrase,1,bleu,0.9391044157537529
652,py,synonym_swap,paraphrase,1,rougeL,0.9411764705882353
652,py,action_antonym,meaning_change,1,bleu,0.9391044157537529
652,py,action_antonym,meaning_change,1,rougeL,0.9411764705882353
721,py,whitespace_double,trivial,1,bleu,1.0000000000000004
721,py,whitespace_double,trivial,1,rougeL,1.0
721,py,trailing_period_flip,trivial,1,bleu,0.9200444146293236
721,py,trailing_period_flip,trivial,1,rougeL,1.0
721,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
721,py,synonym_swap,paraphrase,0,rougeL,1.0
721,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
721,py,action_antonym,meaning_change,0,rougeL,1.0
727,py,whitespace_double,trivial,1,bleu,1.0000000000000004
727,py,whitespace_double,trivial,1,rougeL,1.0
727,py,trailing_period_flip,trivial,1,bleu,0.8633400213704508
727,py,trailing_period_flip,trivial,1,rougeL,1.0
727,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
727,py,synonym_swap,paraphrase,0,rougeL,1.0
727,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
727,py,action_antonym,meaning_change,0,rougeL,1.0
751,py,whitespace_double,trivial,1,bleu,1.0000000000000004
751,py,whitespace_double,trivial,1,rougeL,1.0
751,py,trailing_period_flip,trivial,1,bleu,0.9048374180359599
751,py,trailing_period_flip,trivial,1,rougeL,1.0
751,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
751,py,synonym_swap,paraphrase,0,rougeL,1.0
751,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
751,py,action_antonym,meaning_change,0,rougeL,1.0
780,py,whitespace_double,trivial,1,bleu,1.0000000000000004
780,py,whitespace_double,trivial,1,rougeL,1.0
780,py,trailing_period_flip,trivial,1,bleu,0.9200444146293236
780,py,trailing_period_flip,trivial,1,rougeL,1.0
780,py,synonym_swap,paraphrase,1,bleu,0.7611606003349888
780,py,synonym_swap,paraphrase,1,rougeL,0.875
780,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
780,py,action_antonym,meaning_change,0,rougeL,1.0
848,py,whitespace_double,trivial,1,bleu,1.0000000000000004
848,py,whitespace_double,trivial,1,rougeL,1.0
848,py,trailing_period_flip,trivial,1,bleu,0.866877899750182
848,py,trailing_period_flip,trivial,1,rougeL,1.0
848,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
848,py,synonym_swap,paraphrase,0,rougeL,1.0
848,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
848,py,action_antonym,meaning_change,0,rougeL,1.0
863,py,whitespace_double,trivial,1,bleu,1.0000000000000004
863,py,whitespace_double,trivial,1,rougeL,1.0
863,py,trailing_period_flip,trivial,1,bleu,0.8091067115702206
863,py,trailing_period_flip,trivial,1,rougeL,1.0
863,py,synonym_swap,paraphrase,0,bleu,1.0000000000000004
863,py,synonym_swap,paraphrase,0,rougeL,1.0
863,py,action_antonym,meaning_change,0,bleu,1.0000000000000004
863,py,action_antonym,meaning_change,0,rougeL,1.0
